"","Cell","Region","Year","Data1","Value"
"1",NA,"IND","1965","Generation|Wind (TWh)",0
"2",NA,"IND","1966","Generation|Wind (TWh)",0
"3",NA,"IND","1967","Generation|Wind (TWh)",0
"4",NA,"IND","1968","Generation|Wind (TWh)",0
"5",NA,"IND","1969","Generation|Wind (TWh)",0
"6",NA,"IND","1970","Generation|Wind (TWh)",0
"7",NA,"IND","1971","Generation|Wind (TWh)",0
"8",NA,"IND","1972","Generation|Wind (TWh)",0
"9",NA,"IND","1973","Generation|Wind (TWh)",0
"10",NA,"IND","1974","Generation|Wind (TWh)",0
"11",NA,"IND","1975","Generation|Wind (TWh)",0
"12",NA,"IND","1976","Generation|Wind (TWh)",0
"13",NA,"IND","1977","Generation|Wind (TWh)",0
"14",NA,"IND","1978","Generation|Wind (TWh)",0
"15",NA,"IND","1979","Generation|Wind (TWh)",0
"16",NA,"IND","1980","Generation|Wind (TWh)",0
"17",NA,"IND","1981","Generation|Wind (TWh)",0
"18",NA,"IND","1982","Generation|Wind (TWh)",0
"19",NA,"IND","1983","Generation|Wind (TWh)",0
"20",NA,"IND","1984","Generation|Wind (TWh)",0
"21",NA,"IND","1985","Generation|Wind (TWh)",0
"22",NA,"IND","1986","Generation|Wind (TWh)",0
"23",NA,"IND","1987","Generation|Wind (TWh)",0
"24",NA,"IND","1988","Generation|Wind (TWh)",0
"25",NA,"IND","1989","Generation|Wind (TWh)",0
"26",NA,"IND","1990","Generation|Wind (TWh)",0.0303030303030303
"27",NA,"IND","1991","Generation|Wind (TWh)",0.11291
"28",NA,"IND","1992","Generation|Wind (TWh)",0.08847
"29",NA,"IND","1993","Generation|Wind (TWh)",0.09477
"30",NA,"IND","1994","Generation|Wind (TWh)",0.19128
"31",NA,"IND","1995","Generation|Wind (TWh)",0.49647
"32",NA,"IND","1996","Generation|Wind (TWh)",0.87838
"33",NA,"IND","1997","Generation|Wind (TWh)",0.988
"34",NA,"IND","1998","Generation|Wind (TWh)",1.079
"35",NA,"IND","1999","Generation|Wind (TWh)",1.446
"36",NA,"IND","2000","Generation|Wind (TWh)",1.582
"37",NA,"IND","2001","Generation|Wind (TWh)",2.085
"38",NA,"IND","2002","Generation|Wind (TWh)",2.085
"39",NA,"IND","2003","Generation|Wind (TWh)",2.60448
"40",NA,"IND","2004","Generation|Wind (TWh)",5.22543
"41",NA,"IND","2005","Generation|Wind (TWh)",5.991
"42",NA,"IND","2006","Generation|Wind (TWh)",9.3373
"43",NA,"IND","2007","Generation|Wind (TWh)",11.6828
"44",NA,"IND","2008","Generation|Wind (TWh)",14.3782
"45",NA,"IND","2009","Generation|Wind (TWh)",16.271
"46",NA,"IND","2010","Generation|Wind (TWh)",19.4564
"47",NA,"IND","2011","Generation|Wind (TWh)",23.9523
"48",NA,"IND","2012","Generation|Wind (TWh)",27.4326
"49",NA,"IND","2013","Generation|Wind (TWh)",30.0074
"50",NA,"IND","2014","Generation|Wind (TWh)",33.4549
